Date,Assets,Liabilities,Deposits,Loans,Capital,Total_Assets,Total_Liabilities
2025-01-01,23020364597.0,39197179690.04,38768557663.15,51809358777.92,7068039209.21,85033776562.4,77965737353.19
2025-01-02,24970602148.16,40732878476.32,35997644261.55,49832344116.06,8272825289.65,85003348027.52,76730522737.87
2025-01-03,25469769244.8,36194804819.16,40710085837.91,49447170850.08,8227995814.38,85132886471.45,76904890657.07
2025-01-04,24804409571.9,41304804448.91,36666276875.2,50075173722.29,7119354237.47,85090435561.58,77971081324.11
2025-01-05,24050457519.96,40006304085.27,37214777721.83,50808901502.37,7846371627.37,85067453434.47,77221081807.1
2025-01-06,25006185190.55,40355719896.54,37160906342.32,49735424119.61,7417020704.51,84933646943.36,77516626238.86
2025-01-07,24872551361.33,38950859032.06,38402019944.07,50082473061.0,7823285140.15,85176164116.29,77352878976.14
2025-01-08,25364100457.98,39145633073.45,38832209325.78,49500929088.2,7096054812.34,85073897211.57,77977842399.23
2025-01-09,23190280866.81,40076571205.46,37972078570.07,51663536913.99,7012506793.56,85061156569.09,78048649775.53
2025-01-10,23842992967.93,40824309272.72,35915441523.02,51040532078.08,8355164029.27,85094914825.01,76739750795.74
2025-01-11,24492925132.92,39002232589.47,38435112650.62,50468495954.62,7746087813.93,85183433054.02,77437345240.09
2025-01-12,24888241452.47,36261792143.96,40672248819.76,49962123263.51,8123191668.09,85057232631.8,76934040963.71
2025-01-13,25259370888.53,41522635448.31,36787252811.86,49719458951.62,6893327467.27,85203215727.44,78309888260.17
2025-01-14,24444789204.71,40140054075.21,37760900607.57,50511325473.23,7276448360.34,85177403043.12,77900954682.78
2025-01-15,24587321757.11,39561059931.68,38534356509.48,50342193618.84,7051760122.41,85147176563.57,78095416441.17
2025-01-16,22843027136.85,40567280394.48,36191901703.48,52188531057.17,8503952213.42,85263134311.38,76759182097.96
2025-01-17,25528580699.97,37208511574.62,39932929465.25,49410432287.53,8016528264.11,85157969303.98,77141441039.87
2025-01-18,23091345440.2,38557479554.55,39753938426.32,51935997268.92,6946926006.77,85258343987.64,78311417980.87
2025-01-19,22611225206.83,38837279721.23,38957691032.11,52340516016.58,7377462455.08,85172433208.42,77794970753.34
2025-01-20,25349706252.38,40466223729.84,37383051532.24,49644970479.05,7371948296.35,85221223558.44,77849275262.09
2025-01-21,22565541829.57,40033987124.46,38247392186.4,52507479715.65,7028872445.06,85310251755.92,78281379310.86
2025-01-22,23172690027.68,37825339484.66,39747624748.08,51944087375.63,7787010089.2,85359974321.94,77572964232.75
2025-01-23,23800313405.21,40408085821.22,38004379023.52,51244382764.61,6865598984.61,85278063829.34,78412464844.73
2025-01-24,25251338144.71,41451795931.12,36028893702.28,49900350131.65,7918956135.2,85399645768.6,77480689633.4
2025-01-25,22496610775.96,40679845435.16,37107201392.78,52578160188.91,7525192904.87,85312239732.8,77787046827.93
2025-01-26,22980656097.16,41291258126.91,36946501052.07,51980907778.99,6945836134.83,85183595313.81,78237759178.98
2025-01-27,22411701422.19,37423150083.77,39950961163.39,52631638320.61,7902411187.85,85276522435.0,77374111247.15
2025-01-28,22619262488.6,38223056752.44,39943937005.42,52453652369.92,7143136763.18,85310130521.04,78166993757.86
2025-01-29,22852040403.71,37549267373.99,40442327360.68,52267928716.85,7372006538.69,85363601273.36,77991594734.67
2025-01-30,25254591191.06,40819577686.78,37051386387.55,49928752525.17,7564653785.03,85435617859.36,77870964074.33
2025-01-31,25597041642.68,39371208124.96,38486257158.79,49557278194.7,7545170895.09,85402636178.84,77857465283.75
2025-02-01,24865064735.3,41515482724.83,36487744388.42,50298376812.19,7409774645.26,85413001758.51,78003227113.25
2025-02-02,23846982586.57,38475314529.96,39468897655.95,51302406076.45,7452820385.7,85397032571.61,77944212185.91
2025-02-03,22312985457.45,37359460914.54,40822619499.47,52881452945.82,7266145044.26,85448225458.26,78182080414.0
