date,maturity_bucket,inflows,outflows,funding_gap,gap_status
2025-01-01,0-30 Days,2560064195.9,1731863863.64,828200332.26,Positive
2025-01-01,31-90 Days,9177280646.32,6166873032.46,3010407613.86,Positive
2025-01-01,91-180 Days,7460738979.86,5046854888.94,2413884090.92,Positive
2025-01-01,180-365 Days,17560461338.7,11857089191.78,5703372146.92,Positive
2025-01-01,1+ Years,8961163843.91,6077769699.02,2883394144.88,Positive
2025-01-02,0-30 Days,2554877675.3,1711274527.21,843603148.09,Positive
2025-01-02,31-90 Days,9167242219.34,6127022703.88,3040219515.46,Positive
2025-01-02,91-180 Days,7445681339.4,4987079396.08,2458601943.32,Positive
2025-01-02,180-365 Days,17529509522.2,11734217345.34,5795292176.86,Positive
2025-01-02,1+ Years,8939790359.81,5992921707.76,2946868652.05,Positive
2025-01-03,0-30 Days,2554342961.72,1721605337.79,832737623.93,Positive
2025-01-03,31-90 Days,9166207289.84,6147017821.13,3019189468.7,Positive
2025-01-03,91-180 Days,7444128945.14,5017072071.96,2427056873.18,Positive
2025-01-03,180-365 Days,17526318489.55,11795868956.86,5730449532.68,Positive
2025-01-03,1+ Years,8937586822.4,6035494644.91,2902092177.49,Positive
2025-01-04,0-30 Days,2546787196.39,1706187376.39,840599820.01,Positive
2025-01-04,31-90 Days,9151583227.92,6117176605.52,3034406622.4,Positive
2025-01-04,91-180 Days,7422192852.26,4972310248.54,2449882603.72,Positive
2025-01-04,180-365 Days,17481227631.97,11703858542.06,5777369089.91,Positive
2025-01-04,1+ Years,8906449757.23,5971957723.33,2934492033.89,Positive
2025-01-05,0-30 Days,2563673691.73,1716088870.75,847584820.98,Positive
2025-01-05,31-90 Days,9184266767.28,6136340788.16,3047925979.12,Positive
2025-01-05,91-180 Days,7471218161.3,5001056522.49,2470161638.81,Positive
2025-01-05,180-365 Days,17582001878.34,11762948105.19,5819053773.15,Positive
2025-01-05,1+ Years,8976038459.79,6012761462.2,2963276997.59,Positive
2025-01-06,0-30 Days,2546767120.51,1722835646.36,823931474.15,Positive
2025-01-06,31-90 Days,9151544371.37,6149399063.54,3002145307.84,Positive
2025-01-06,91-180 Days,7422134567.44,5020643935.56,2401490631.88,Positive
2025-01-06,180-365 Days,17481107824.29,11803211120.94,5677896703.35,Positive
2025-01-06,1+ Years,8906367025.17,6040564706.86,2865802318.31,Positive
2025-01-07,0-30 Days,2549611018.54,1722092609.34,827518409.2,Positive
2025-01-07,31-90 Days,9157048690.14,6147960927.37,3009087762.78,Positive
2025-01-07,91-180 Days,7430391045.6,5018486731.3,2411904314.29,Positive
2025-01-07,180-365 Days,17498079473.83,11798776867.75,5699302606.08,Positive
2025-01-07,1+ Years,8918086637.22,6037502675.26,2880583961.95,Positive
2025-01-08,0-30 Days,2556476091.2,1728839510.15,827636581.04,Positive
