date,hqla,net_cash_outflows,lcr,liquidity_buffer,status
2025-01-01,7589356316.1445,8032366564.713925,94.48468586436825,-443010248.5694256,Yellow
2025-01-02,7490611200.433001,6986270913.183902,107.21901989654239,504340287.2490988,Green
2025-01-03,7326670238.5805,7108366903.113924,103.07107579619934,218303335.46657562,Green
2025-01-04,7207235043.867001,6986270913.183902,103.16283369810515,220964130.6830988,Green
2025-01-05,7513218902.205,6986270913.183902,107.54262174440854,526947989.02109814,Green
2025-01-06,7576980484.7105,7977953079.543924,94.97399156355596,-400972594.83342457,Yellow
2025-01-07,7329081005.495,7611789213.513926,96.28591648968671,-282708208.01892567,Yellow
2025-01-08,7207264927.947,7934581591.503923,90.83358517182923,-727316663.5569239,Yellow
2025-01-09,7597054736.705999,8860669392.723925,85.73906101207702,-1263614656.0179253,Red
2025-01-10,7769337531.943,6986270913.183902,111.20864948539801,783066618.759098,Green
2025-01-11,7665362062.7815,7647384851.643924,100.23507658482377,17977211.137576103,Green
2025-01-12,7716949879.1055,8331970833.045923,92.61854168402567,-615020953.940423,Yellow
2025-01-13,7575274052.8495,7316172011.709923,103.54149739405895,259102041.1395769,Green
2025-01-14,7304565999.931,7722331811.931923,94.59015978366243,-417765812.00092316,Yellow
2025-01-15,7321446924.5775,6986270913.183902,104.79763833322127,335176011.39359856,Green
2025-01-16,7532146435.4210005,7644464535.663924,98.53072638745431,-112318100.24292374,Yellow
2025-01-17,7739983987.884001,7433253497.367927,104.12646347423353,306730490.5160742,Green
2025-01-18,7720711533.685499,7215580238.241923,107.00056376293101,505131295.44357586,Green
2025-01-19,7761074320.663,6986270913.183902,111.09037163183801,774803407.4790983,Green
2025-01-20,7735568354.5205,8965494279.219925,86.28156032010274,-1229925924.6994247,Red
2025-01-21,7125291356.007,6986270913.183902,101.98990913107522,139020442.82309818,Green
2025-01-22,7617391583.456,9030096089.247925,84.35559830338879,-1412704505.7919245,Red
2025-01-23,7365675533.16,6986270913.183902,105.43071725518286,379404619.97609806,Green
2025-01-24,7268651908.984,7812043750.257924,93.044178211931,-543391841.2739239,Yellow
2025-01-25,7187751140.2439995,7839855588.129925,91.68218801283463,-652104447.8859253,Yellow
2025-01-26,7603631076.7535,7956541954.851926,95.56451935902606,-352910878.09842587,Yellow
2025-01-27,7570761712.7325,7608796322.463926,99.50012317166205,-38034609.73142624,Yellow
2025-01-28,7485638976.513,6986270913.183902,107.14784853800519,499368063.32909775,Green
2025-01-29,7199377449.7795,6986270913.183902,103.05036176300351,213106536.59559822,Green
2025-01-30,7597178760.173,6986270913.183902,108.74440534271645,610907846.9890985,Green
2025-01-31,7424372265.043,7585808613.273923,97.8718636804462,-161436348.2309227,Yellow
2025-02-01,7726740922.745,8680114853.583925,89.0165747006759,-953373930.8389254,Red
2025-02-02,7524389358.272,7966973656.185924,94.44476262865159,-442584297.91392326,Yellow
2025-02-03,7637861728.0460005,7665025309.875925,99.64561654095354,-27163581.829924583,Yellow
2025-02-04,7570437458.9525,6986270913.183902,108.36163602911833,584166545.7685986,Green
2025-02-05,7403170649.055,7227842331.417923,102.42573522771742,175328317.63707733,Green
2025-02-06,7476693949.303499,8106018249.525923,92.236332551321,-629324300.2224236,Yellow
