date,available_stable_funding,required_stable_funding,nsfr,status
2025-01-01,55905094018.91,55944927730.79,99.93,Breach
2025-01-02,55905094018.91,55233632674.32,101.22,Compliant
2025-01-03,55905094018.91,55147740628.61,101.37,Compliant
2025-01-04,55905094018.91,55342237868.16,101.02,Compliant
2025-01-05,55905094018.91,55604663749.4,100.54,Compliant
2025-01-06,55905094018.91,55173322925.98,101.33,Compliant
2025-01-07,55905094018.91,55388859732.0,100.93,Compliant
2025-01-08,55905094018.91,55134123966.94,101.4,Compliant
2025-01-09,55905094018.91,55905444945.14,100.0,Breach
2025-01-10,55905094018.91,55711035258.55,100.35,Compliant
2025-01-11,55905094018.91,55544431849.43,100.65,Compliant
2025-01-12,55905094018.91,55314078531.14,101.07,Compliant
2025-01-13,55905094018.91,55286104312.73,101.12,Compliant
2025-01-14,55905094018.91,55537778626.66,100.66,Compliant
2025-01-15,55905094018.91,55466537527.97,100.79,Compliant
2025-01-16,55905094018.91,56175114232.13,99.52,Breach
2025-01-17,55905094018.91,55167166885.4,101.34,Compliant
2025-01-18,55905094018.91,56093561908.7,99.66,Breach
2025-01-19,55905094018.91,56199804385.74,99.48,Breach
2025-01-20,55905094018.91,55276471156.08,101.14,Compliant
2025-01-21,55905094018.91,56286658825.81,99.32,Breach
2025-01-22,55905094018.91,56136394302.04,99.59,Breach
2025-01-23,55905094018.91,55842307492.42,100.11,Compliant
2025-01-24,55905094018.91,55419762531.47,100.88,Compliant
2025-01-25,55905094018.91,56315603930.09,99.27,Breach
2025-01-26,55905094018.91,56070450895.71,99.71,Breach
2025-01-27,55905094018.91,56338414436.86,99.23,Breach
2025-01-28,55905094018.91,56286248716.89,99.32,Breach
2025-01-29,55905094018.91,56230259708.77,99.42,Breach
2025-01-30,55905094018.91,55463099760.28,100.8,Compliant
2025-01-31,55905094018.91,55309544776.89,101.08,Compliant
2025-02-01,55905094018.91,55588866483.07,100.57,Compliant
2025-02-02,55905094018.91,55923135135.04,99.97,Breach
2025-02-03,55905094018.91,56503715313.09,98.94,Breach
2025-02-04,55905094018.91,55584726798.01,100.58,Compliant
2025-02-05,55905094018.91,55927879663.02,99.96,Breach
2025-02-06,55905094018.91,55505852525.9,100.72,Compliant
2025-02-07,55905094018.91,55641601591.74,100.47,Compliant
2025-02-08,55905094018.91,55825187405.92,100.14,Compliant
2025-02-09,55905094018.91,55964927306.86,99.89,Breach
2025-02-10,55905094018.91,55387606871.4,100.93,Compliant
2025-02-11,55905094018.91,55374342042.34,100.96,Compliant
2025-02-12,55905094018.91,56170307521.66,99.53,Breach
2025-02-13,55905094018.91,55599734496.92,100.55,Compliant
2025-02-14,55905094018.91,56427903602.7,99.07,Breach
2025-02-15,55905094018.91,55648350815.8,100.46,Compliant
2025-02-16,55905094018.91,55843259452.86,100.11,Compliant
2025-02-17,55905094018.91,56538157517.92,98.88,Breach
2025-02-18,55905094018.91,55613084426.86,100.53,Compliant
2025-02-19,55905094018.91,55469050975.71,100.79,Compliant
2025-02-20,55905094018.91,56307976897.79,99.28,Breach
2025-02-21,55905094018.91,55775800025.67,100.23,Compliant
2025-02-22,55905094018.91,56303722526.33,99.29,Breach
2025-02-23,55905094018.91,55945262243.66,99.93,Breach
2025-02-24,55905094018.91,56561844603.62,98.84,Breach
2025-02-25,55905094018.91,56107440111.36,99.64,Breach
2025-02-26,55905094018.91,55860845741.65,100.08,Compliant
2025-02-27,55905094018.91,55704211955.67,100.36,Compliant
2025-02-28,55905094018.91,55536225616.19,100.66,Compliant
2025-03-01,55905094018.91,56707081981.69,98.59,Breach
2025-03-02,55905094018.91,56528988241.86,98.9,Breach
2025-03-03,55905094018.91,56139215016.38,99.58,Breach
2025-03-04,55905094018.91,56257551348.79,99.37,Breach
2025-03-05,55905094018.91,56200194315.63,99.47,Breach
2025-03-06,55905094018.91,56043154501.84,99.75,Breach
2025-03-07,55905094018.91,56579613928.15,98.81,Breach
2025-03-08,55905094018.91,56572307530.28,98.82,Breach
2025-03-09,55905094018.91,56730428707.65,98.55,Breach
2025-03-10,55905094018.91,56269718058.29,99.35,Breach
2025-03-11,55905094018.91,56238804946.59,99.41,Breach
2025-03-12,55905094018.91,55746025179.33,100.29,Compliant
2025-03-13,55905094018.91,55934860560.07,99.95,Breach
2025-03-14,55905094018.91,56286527288.97,99.32,Breach
2025-03-15,55905094018.91,56773134410.27,98.47,Breach
2025-03-16,55905094018.91,56160222363.0,99.55,Breach
2025-03-17,55905094018.91,56861323426.16,98.32,Breach
2025-03-18,55905094018.91,55809173668.52,100.17,Compliant
2025-03-19,55905094018.91,56516475071.94,98.92,Breach
2025-03-20,55905094018.91,56284281776.61,99.33,Breach
2025-03-21,55905094018.91,56659914799.49,98.67,Breach
2025-03-22,55905094018.91,56296871026.15,99.3,Breach
2025-03-23,55905094018.91,56332258590.79,99.24,Breach
2025-03-24,55905094018.91,56545160318.84,98.87,Breach
2025-03-25,55905094018.91,56420607379.25,99.09,Breach
2025-03-26,55905094018.91,55777153698.35,100.23,Compliant
2025-03-27,55905094018.91,56467784778.36,99.0,Breach
2025-03-28,55905094018.91,56364911435.84,99.18,Breach
2025-03-29,55905094018.91,56171727966.1,99.53,Breach
2025-03-30,55905094018.91,55855198332.54,100.09,Compliant
2025-03-31,55905094018.91,55772880592.89,100.24,Compliant
2025-04-01,55905094018.91,56567084969.91,98.83,Breach
2025-04-02,55905094018.91,56728778409.87,98.55,Breach
2025-04-03,55905094018.91,57036473489.73,98.02,Breach
2025-04-04,55905094018.91,56781221994.17,98.46,Breach
2025-04-05,55905094018.91,56726970438.63,98.55,Breach
2025-04-06,55905094018.91,56969910456.04,98.13,Breach
2025-04-07,55905094018.91,56330666450.28,99.24,Breach
2025-04-08,55905094018.91,55952980451.88,99.91,Breach
2025-04-09,55905094018.91,56609451439.95,98.76,Breach
2025-04-10,55905094018.91,56271778650.32,99.35,Breach
2025-04-11,55905094018.91,56013973958.28,99.81,Breach
2025-04-12,55905094018.91,56580313016.31,98.81,Breach
2025-04-13,55905094018.91,56019573827.46,99.8,Breach
2025-04-14,55905094018.91,56012704317.86,99.81,Breach
2025-04-15,55905094018.91,55968206317.98,99.89,Breach
2025-04-16,55905094018.91,56361261747.57,99.19,Breach
2025-04-17,55905094018.91,56800540114.18,98.42,Breach
2025-04-18,55905094018.91,57013098472.2,98.06,Breach
2025-04-19,55905094018.91,56003308257.74,99.82,Breach
2025-04-20,55905094018.91,56707486083.33,98.59,Breach
2025-04-21,55905094018.91,56293366041.65,99.31,Breach
2025-04-22,55905094018.91,57132349993.94,97.85,Breach
2025-04-23,55905094018.91,56055403857.8,99.73,Breach
2025-04-24,55905094018.91,56618673403.07,98.74,Breach
2025-04-25,55905094018.91,56800655032.92,98.42,Breach
2025-04-26,55905094018.91,56285227180.18,99.32,Breach
2025-04-27,55905094018.91,56418846469.92,99.09,Breach
2025-04-28,55905094018.91,56403293515.66,99.12,Breach
2025-04-29,55905094018.91,56420795005.43,99.09,Breach
2025-04-30,55905094018.91,56301659242.4,99.3,Breach
2025-05-01,55905094018.91,57089067960.76,97.93,Breach
2025-05-02,55905094018.91,56142422569.21,99.58,Breach
2025-05-03,55905094018.91,57139697452.95,97.84,Breach
2025-05-04,55905094018.91,56677163374.26,98.64,Breach
2025-05-05,55905094018.91,56984854223.82,98.11,Breach
2025-05-06,55905094018.91,56377348425.54,99.16,Breach
2025-05-07,55905094018.91,56355295433.68,99.2,Breach
2025-05-08,55905094018.91,56547211684.02,98.86,Breach
2025-05-09,55905094018.91,56796962101.29,98.43,Breach
2025-05-10,55905094018.91,56791938041.69,98.44,Breach
2025-05-11,55905094018.91,56989894960.46,98.1,Breach
2025-05-12,55905094018.91,56202912481.46,99.47,Breach
2025-05-13,55905094018.91,57183426340.67,97.76,Breach
2025-05-14,55905094018.91,57001075728.61,98.08,Breach
2025-05-15,55905094018.91,56621042149.38,98.74,Breach
2025-05-16,55905094018.91,56569402626.33,98.83,Breach
2025-05-17,55905094018.91,56393677878.46,99.13,Breach
2025-05-18,55905094018.91,56705924610.46,98.59,Breach
2025-05-19,55905094018.91,56368575347.41,99.18,Breach
2025-05-20,55905094018.91,56703948129.49,98.59,Breach
2025-05-21,55905094018.91,56324747114.72,99.25,Breach
2025-05-22,55905094018.91,56312253306.23,99.28,Breach
2025-05-23,55905094018.91,57175183544.28,97.78,Breach
2025-05-24,55905094018.91,56453907040.66,99.03,Breach
2025-05-25,55905094018.91,56714683538.76,98.57,Breach
2025-05-26,55905094018.91,56611909677.27,98.75,Breach
2025-05-27,55905094018.91,56515556148.93,98.92,Breach
2025-05-28,55905094018.91,56596046532.04,98.78,Breach
2025-05-29,55905094018.91,56388777936.22,99.14,Breach
2025-05-30,55905094018.91,57034339300.47,98.02,Breach
2025-05-31,55905094018.91,56982329335.88,98.11,Breach
2025-06-01,55905094018.91,56402029806.58,99.12,Breach
2025-06-02,55905094018.91,56764881480.17,98.49,Breach
2025-06-03,55905094018.91,56668018347.71,98.65,Breach
2025-06-04,55905094018.91,56508692111.35,98.93,Breach
